ensembl_gene_id,gene_name,chromosome,gene_type,go_ids,go_terms,ribosomal_evidence,ensembl_dataset,go_obo_source,filter_note
ENSG00000008988,RPS20,8,,GO:0002181;GO:0003723;GO:0003735;GO:0005515;GO:0005654;GO:0005737;GO:0005783;GO:0005829;GO:0005840;GO:0006412;GO:0015935;GO:0016020;GO:0022626;GO:0022627;GO:0045202;GO:0070062;GO:0097371;GO:1901798;GO:1990904;GO:1990948,MDM2/MDM4 family protein binding;RNA binding;cytoplasm;cytoplasmic translation;cytosol;cytosolic ribosome;cytosolic small ribosomal subunit;endoplasmic reticulum;extracellular exosome;membrane;nucleoplasm;positive regulation of signal transduction by p53 class mediator;protein binding;ribonucleoprotein complex;ribosome;small ribosomal subunit;structural constituent of ribosome;synapse;translation;ubiquitin ligase inhibitor activity,gene_name_pattern:RPL*/RPS*;go_terms:GO:0003735,mygene.info:v3;fetched=2026-01-12,http://purl.obolibrary.org/obo/go.obo,Structural ribosomal protein (RPL*/RPS* pattern) for QC
ENSG00000037241,RPL26L1,5,,GO:0002181;GO:0003723;GO:0003735;GO:0005515;GO:0005840;GO:0006412;GO:0015934;GO:0022625;GO:0042273;GO:0070062;GO:1990904,RNA binding;cytoplasmic translation;cytosolic large ribosomal subunit;extracellular exosome;large ribosomal subunit;protein binding;ribonucleoprotein complex;ribosomal large subunit biogenesis;ribosome;structural constituent of ribosome;translation,gene_name_pattern:RPL*/RPS*;go_terms:GO:0003735,mygene.info:v3;fetched=2026-01-12,http://purl.obolibrary.org/obo/go.obo,Structural ribosomal protein (RPL*/RPS* pattern) for QC
ENSG00000063177,RPL18,19,,GO:0002181;GO:0003723;GO:0003735;GO:0005515;GO:0005634;GO:0005737;GO:0005783;GO:0005791;GO:0005829;GO:0005840;GO:0005925;GO:0006412;GO:0006941;GO:0007283;GO:0016020;GO:0022625;GO:0022626;GO:1901740;GO:1990904,RNA binding;cytoplasm;cytoplasmic translation;cytosol;cytosolic large ribosomal subunit;cytosolic ribosome;endoplasmic reticulum;focal adhesion;membrane;negative regulation of myoblast fusion;nucleus;protein binding;ribonucleoprotein complex;ribosome;rough endoplasmic reticulum;spermatogenesis;striated muscle contraction;structural constituent of ribosome;translation,gene_name_pattern:RPL*/RPS*;go_terms:GO:0003735,mygene.info:v3;fetched=2026-01-12,http://purl.obolibrary.org/obo/go.obo,Structural ribosomal protein (RPL*/RPS* pattern) for QC
ENSG00000071082,RPL31,2,,GO:0002181;GO:0003723;GO:0003735;GO:0005515;GO:0005654;GO:0005737;GO:0005829;GO:0005840;GO:0005925;GO:0006412;GO:0006941;GO:0007283;GO:0015934;GO:0016020;GO:0022625;GO:0022626;GO:0045202;GO:0070062;GO:1901740;GO:1990904,RNA binding;cytoplasm;cytoplasmic translation;cytosol;cytosolic large ribosomal subunit;cytosolic ribosome;extracellular exosome;focal adhesion;large ribosomal subunit;membrane;negative regulation of myoblast fusion;nucleoplasm;protein binding;ribonucleoprotein complex;ribosome;spermatogenesis;striated muscle contraction;structural constituent of ribosome;synapse;translation,gene_name_pattern:RPL*/RPS*;go_terms:GO:0003735,mygene.info:v3;fetched=2026-01-12,http://purl.obolibrary.org/obo/go.obo,Structural ribosomal protein (RPL*/RPS* pattern) for QC
ENSG00000071242,RPS6KA2,6,,GO:0000166;GO:0000287;GO:0001556;GO:0002035;GO:0004672;GO:0004674;GO:0004711;GO:0004712;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005819;GO:0005829;GO:0007165;GO:0007268;GO:0007507;GO:0008285;GO:0010628;GO:0010659;GO:0016301;GO:0016740;GO:0035556;GO:0038202;GO:0043065;GO:0045202;GO:0045786;GO:0045835;GO:0046872;GO:0060047;GO:0070613;GO:0071322;GO:0072687;GO:0106310,ATP binding;TORC1 signaling;brain renin-angiotensin system;cardiac muscle cell apoptotic process;cellular response to carbohydrate stimulus;chemical synaptic transmission;cytoplasm;cytosol;heart contraction;heart development;intracellular signal transduction;kinase activity;magnesium ion binding;meiotic spindle;metal ion binding;negative regulation of cell cycle;negative regulation of cell population proliferation;negative regulation of meiotic nuclear division;nucleoplasm;nucleotide binding;nucleus;oocyte maturation;positive regulation of apoptotic process;positive regulation of gene expression;protein binding;protein kinase activity;protein serine kinase activity;protein serine/threonine kinase activity;protein serine/threonine/tyrosine kinase activity;regulation of protein processing;ribosomal protein S6 kinase activity;signal transduction;spindle;synapse;transferase activity,gene_name_pattern:RPL*/RPS*,mygene.info:v3;fetched=2026-01-12,http://purl.obolibrary.org/obo/go.obo,Structural ribosomal protein (RPL*/RPS* pattern) for QC
ENSG00000072133,RPS6KA6,X,,GO:0000166;GO:0000287;GO:0004672;GO:0004674;GO:0004711;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0007165;GO:0007417;GO:0016301;GO:0016740;GO:0030330;GO:0035556;GO:0038202;GO:0045992;GO:0046872;GO:0070373;GO:0106310;GO:2000381,"ATP binding;DNA damage response, signal transduction by p53 class mediator;TORC1 signaling;central nervous system development;cytoplasm;cytosol;intracellular signal transduction;kinase activity;magnesium ion binding;metal ion binding;negative regulation of ERK1 and ERK2 cascade;negative regulation of embryonic development;negative regulation of mesoderm development;nucleoplasm;nucleotide binding;nucleus;protein binding;protein kinase activity;protein serine kinase activity;protein serine/threonine kinase activity;ribosomal protein S6 kinase activity;signal transduction;transferase activity",gene_name_pattern:RPL*/RPS*,mygene.info:v3;fetched=2026-01-12,http://purl.obolibrary.org/obo/go.obo,Structural ribosomal protein (RPL*/RPS* pattern) for QC
ENSG00000083845,RPS5,19,,GO:0002181;GO:0003723;GO:0003729;GO:0003735;GO:0005515;GO:0005654;GO:0005730;GO:0005737;GO:0005783;GO:0005829;GO:0005840;GO:0005925;GO:0006412;GO:0006413;GO:0006450;GO:0015935;GO:0016020;GO:0019843;GO:0022626;GO:0022627;GO:0032040;GO:0042274;GO:0045202;GO:0070062;GO:1990904,RNA binding;cytoplasm;cytoplasmic translation;cytosol;cytosolic ribosome;cytosolic small ribosomal subunit;endoplasmic reticulum;extracellular exosome;focal adhesion;mRNA binding;membrane;nucleolus;nucleoplasm;protein binding;rRNA binding;regulation of translational fidelity;ribonucleoprotein complex;ribosomal small subunit biogenesis;ribosome;small ribosomal subunit;small-subunit processome;structural constituent of ribosome;synapse;translation;translational initiation,gene_name_pattern:RPL*/RPS*;go_terms:GO:0003735,mygene.info:v3;fetched=2026-01-12,http://purl.obolibrary.org/obo/go.obo,Structural ribosomal protein (RPL*/RPS* pattern) for QC
ENSG00000089009,RPL6,12,,GO:0002181;GO:0003677;GO:0003723;GO:0003735;GO:0005515;GO:0005634;GO:0005737;GO:0005791;GO:0005829;GO:0005840;GO:0005925;GO:0006355;GO:0006412;GO:0006941;GO:0007283;GO:0014069;GO:0015934;GO:0016020;GO:0022625;GO:0022626;GO:0036464;GO:0045202;GO:0045296;GO:1901740;GO:1990904,DNA binding;RNA binding;cadherin binding;cytoplasm;cytoplasmic ribonucleoprotein granule;cytoplasmic translation;cytosol;cytosolic large ribosomal subunit;cytosolic ribosome;focal adhesion;large ribosomal subunit;membrane;negative regulation of myoblast fusion;nucleus;postsynaptic density;protein binding;regulation of DNA-templated transcription;ribonucleoprotein complex;ribosome;rough endoplasmic reticulum;spermatogenesis;striated muscle contraction;structural constituent of ribosome;synapse;translation,gene_name_pattern:RPL*/RPS*;go_terms:GO:0003735,mygene.info:v3;fetched=2026-01-12,http://purl.obolibrary.org/obo/go.obo,Structural ribosomal protein (RPL*/RPS* pattern) for QC
ENSG00000100316,RPL3,22,,GO:0002181;GO:0003723;GO:0003735;GO:0005515;GO:0005634;GO:0005730;GO:0005737;GO:0005829;GO:0005840;GO:0005925;GO:0006412;GO:0007283;GO:0022625;GO:0022626;GO:0032991;GO:0070062;GO:0071353;GO:1990904,RNA binding;cellular response to interleukin-4;cytoplasm;cytoplasmic translation;cytosol;cytosolic large ribosomal subunit;cytosolic ribosome;extracellular exosome;focal adhesion;nucleolus;nucleus;protein binding;protein-containing complex;ribonucleoprotein complex;ribosome;spermatogenesis;structural constituent of ribosome;translation,gene_name_pattern:RPL*/RPS*;go_terms:GO:0003735,mygene.info:v3;fetched=2026-01-12,http://purl.obolibrary.org/obo/go.obo,Structural ribosomal protein (RPL*/RPS* pattern) for QC
ENSG00000100784,RPS6KA5,14,,GO:0000166;GO:0000287;GO:0001818;GO:0004672;GO:0004674;GO:0004713;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0006338;GO:0006355;GO:0006468;GO:0006954;GO:0007411;GO:0016301;GO:0016740;GO:0032793;GO:0035175;GO:0035556;GO:0038202;GO:0043687;GO:0044022;GO:0044024;GO:0045892;GO:0045944;GO:0046872;GO:0051092;GO:0070498;GO:0099175;GO:0106310,ATP binding;TORC1 signaling;axon guidance;chromatin remodeling;cytoplasm;histone H2AS1 kinase activity;histone H3S10 kinase activity;histone H3S28 kinase activity;inflammatory response;interleukin-1-mediated signaling pathway;intracellular signal transduction;kinase activity;magnesium ion binding;metal ion binding;negative regulation of DNA-templated transcription;negative regulation of cytokine production;nucleoplasm;nucleotide binding;nucleus;positive regulation of CREB transcription factor activity;positive regulation of NF-kappaB transcription factor activity;positive regulation of transcription by RNA polymerase II;post-translational protein modification;protein binding;protein kinase activity;protein phosphorylation;protein serine kinase activity;protein serine/threonine kinase activity;protein tyrosine kinase activity;regulation of DNA-templated transcription;regulation of postsynapse organization;transferase activity,gene_name_pattern:RPL*/RPS*,mygene.info:v3;fetched=2026-01-12,http://purl.obolibrary.org/obo/go.obo,Structural ribosomal protein (RPL*/RPS* pattern) for QC
